topic_id,post_number,post_id,date,topic_title,category,reply_to_user,word_count,post_url,fetched_at
164683,7,3000354,2020-10-12,What's your favorite Chambertin (and Beze) besides Rousseau and Leroy?,WINE TALK,,14,https://www.wineberserkers.com/t/whats-your-favorite-chambertin-and-beze-besides-rousseau-and-leroy/164683/7,2026-05-07T05:31:47+00:00
164683,9,3000357,2020-10-12,What's your favorite Chambertin (and Beze) besides Rousseau and Leroy?,WINE TALK,,48,https://www.wineberserkers.com/t/whats-your-favorite-chambertin-and-beze-besides-rousseau-and-leroy/164683/9,2026-05-07T05:31:47+00:00
164709,4,3000551,2020-10-12,what to choose from the winelist...,WINE TALK,,10,https://www.wineberserkers.com/t/what-to-choose-from-the-winelist/164709/4,2026-05-07T05:31:47+00:00
164834,23,3004470,2020-10-17,Champagne?,WINE TALK,,92,https://www.wineberserkers.com/t/champagne/164834/23,2026-05-07T05:31:47+00:00
164834,24,3004475,2020-10-17,Champagne?,WINE TALK,,91,https://www.wineberserkers.com/t/champagne/164834/24,2026-05-07T05:31:47+00:00
164834,26,3004507,2020-10-17,Champagne?,WINE TALK,,19,https://www.wineberserkers.com/t/champagne/164834/26,2026-05-07T05:31:47+00:00
164892,16,3005825,2020-10-19,Sauzet PM 2015 - prematurely oxidized,WINE TALK,,38,https://www.wineberserkers.com/t/sauzet-pm-2015-prematurely-oxidized/164892/16,2026-05-07T05:31:47+00:00
164892,22,3006449,2020-10-20,Sauzet PM 2015 - prematurely oxidized,WINE TALK,,19,https://www.wineberserkers.com/t/sauzet-pm-2015-prematurely-oxidized/164892/22,2026-05-07T05:31:47+00:00
165030,9,3009925,2020-10-24,"Recent TNs: Peters, Jouan, Barthod",WINE TALK,,61,https://www.wineberserkers.com/t/recent-tns-peters-jouan-barthod/165030/9,2026-05-07T05:31:47+00:00
165030,19,3010684,2020-10-25,"Recent TNs: Peters, Jouan, Barthod",WINE TALK,,1,https://www.wineberserkers.com/t/recent-tns-peters-jouan-barthod/165030/19,2026-05-07T05:31:47+00:00
165071,3,3010703,2020-10-25,1982 Calon Segur,WINE TALK,,10,https://www.wineberserkers.com/t/1982-calon-segur/165071/3,2026-05-07T05:31:47+00:00
165115,12,3012085,2020-10-27,Test your knowledge of Burgundy - Fun,WINE TALK,,79,https://www.wineberserkers.com/t/test-your-knowledge-of-burgundy-fun/165115/12,2026-05-07T05:31:47+00:00
165121,9,3012092,2020-10-27,"TNs: Aligoté, All Day; 1 Afternoon, 7 Aligotés",WINE TALK,,49,https://www.wineberserkers.com/t/tns-aligote-all-day-1-afternoon-7-aligotes/165121/9,2026-05-07T05:31:47+00:00
165174,6,3013530,2020-10-29,2017 Jouan Chambolle Musigny VV,WINE TALK,,121,https://www.wineberserkers.com/t/2017-jouan-chambolle-musigny-vv/165174/6,2026-05-07T05:31:47+00:00
165174,13,3014693,2020-10-30,2017 Jouan Chambolle Musigny VV,WINE TALK,,9,https://www.wineberserkers.com/t/2017-jouan-chambolle-musigny-vv/165174/13,2026-05-07T05:31:47+00:00
165174,14,3014695,2020-10-30,2017 Jouan Chambolle Musigny VV,WINE TALK,,20,https://www.wineberserkers.com/t/2017-jouan-chambolle-musigny-vv/165174/14,2026-05-07T05:31:47+00:00
165252,2,3015683,2020-10-31,Domaine Daniel Barraud,WINE TALK,,37,https://www.wineberserkers.com/t/domaine-daniel-barraud/165252/2,2026-05-07T05:31:47+00:00
165252,4,3015713,2020-10-31,Domaine Daniel Barraud,WINE TALK,,29,https://www.wineberserkers.com/t/domaine-daniel-barraud/165252/4,2026-05-07T05:31:47+00:00
165252,6,3015728,2020-10-31,Domaine Daniel Barraud,WINE TALK,,30,https://www.wineberserkers.com/t/domaine-daniel-barraud/165252/6,2026-05-07T05:31:47+00:00
165298,7,3017094,2020-11-02,AMA - William Kelley edition - 12/09/2020 5:30PST,WINE TALK,,4,https://www.wineberserkers.com/t/ama-william-kelley-edition-12-09-2020-5-30pst/165298/7,2026-05-07T05:31:46+00:00
165233,12,3020515,2020-11-06,TN--2017 Joseph Colin Chassagne Vide Bourse,WINE TALK,,6,https://www.wineberserkers.com/t/tn-2017-joseph-colin-chassagne-vide-bourse/165233/12,2026-05-07T05:31:47+00:00
165233,16,3020539,2020-11-06,TN--2017 Joseph Colin Chassagne Vide Bourse,WINE TALK,,7,https://www.wineberserkers.com/t/tn-2017-joseph-colin-chassagne-vide-bourse/165233/16,2026-05-07T05:31:47+00:00
165233,17,3020540,2020-11-06,TN--2017 Joseph Colin Chassagne Vide Bourse,WINE TALK,,9,https://www.wineberserkers.com/t/tn-2017-joseph-colin-chassagne-vide-bourse/165233/17,2026-05-07T05:31:47+00:00
165233,20,3020793,2020-11-06,TN--2017 Joseph Colin Chassagne Vide Bourse,WINE TALK,,134,https://www.wineberserkers.com/t/tn-2017-joseph-colin-chassagne-vide-bourse/165233/20,2026-05-07T05:31:47+00:00
165395,2,3020947,2020-11-06,Cedric Bouchard's 2016 Lineup?,WINE TALK,,68,https://www.wineberserkers.com/t/cedric-bouchards-2016-lineup/165395/2,2026-05-07T05:31:47+00:00
165395,5,3020975,2020-11-06,Cedric Bouchard's 2016 Lineup?,WINE TALK,,10,https://www.wineberserkers.com/t/cedric-bouchards-2016-lineup/165395/5,2026-05-07T05:31:47+00:00
165233,24,3022408,2020-11-08,TN--2017 Joseph Colin Chassagne Vide Bourse,WINE TALK,,83,https://www.wineberserkers.com/t/tn-2017-joseph-colin-chassagne-vide-bourse/165233/24,2026-05-07T05:31:47+00:00
132031,1249,3024845,2020-11-11,"It's critic bingo! (energetic, vertical, explosive beams of tannin)",WINE TALK,,25,https://www.wineberserkers.com/t/its-critic-bingo-energetic-vertical-explosive-beams-of-tannin/132031/1249,2026-05-07T05:31:21+00:00
165479,17,3024854,2020-11-11,Champagne south of $50,WINE TALK,,91,https://www.wineberserkers.com/t/champagne-south-of-50/165479/17,2026-05-07T05:31:47+00:00
165479,18,3024855,2020-11-11,Champagne south of $50,WINE TALK,,29,https://www.wineberserkers.com/t/champagne-south-of-50/165479/18,2026-05-07T05:31:47+00:00
165500,9,3024861,2020-11-11,Denis Bachelet - What am I Missing?,WINE TALK,,53,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/9,2026-05-07T05:31:47+00:00
165500,10,3024864,2020-11-11,Denis Bachelet - What am I Missing?,WINE TALK,,80,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/10,2026-05-07T05:31:47+00:00
165500,11,3024866,2020-11-11,Denis Bachelet - What am I Missing?,WINE TALK,,8,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/11,2026-05-07T05:31:47+00:00
165500,13,3024881,2020-11-11,Denis Bachelet - What am I Missing?,WINE TALK,,25,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/13,2026-05-07T05:31:47+00:00
165524,16,3024511,2020-11-11,TN:  1999 Drouhin VR Petits Monts,WINE TALK,,29,https://www.wineberserkers.com/t/tn-1999-drouhin-vr-petits-monts/165524/16,2026-05-07T05:31:47+00:00
165529,18,3024844,2020-11-11,What flaw was I tasting?,WINE TALK,,43,https://www.wineberserkers.com/t/what-flaw-was-i-tasting/165529/18,2026-05-07T05:31:47+00:00
165564,4,3024849,2020-11-11,TNs: A champagne night,WINE TALK,,21,https://www.wineberserkers.com/t/tns-a-champagne-night/165564/4,2026-05-07T05:31:47+00:00
165500,28,3025231,2020-11-12,Denis Bachelet - What am I Missing?,WINE TALK,,20,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/28,2026-05-07T05:31:47+00:00
165500,35,3026233,2020-11-13,Denis Bachelet - What am I Missing?,WINE TALK,,89,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/35,2026-05-07T05:31:47+00:00
165500,36,3026238,2020-11-13,Denis Bachelet - What am I Missing?,WINE TALK,,47,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/36,2026-05-07T05:31:47+00:00
165500,37,3026240,2020-11-13,Denis Bachelet - What am I Missing?,WINE TALK,,23,https://www.wineberserkers.com/t/denis-bachelet-what-am-i-missing/165500/37,2026-05-07T05:31:47+00:00
146188,65,3027294,2020-11-15,Clive Coates on the age worthiness of Beaujolais,WINE TALK,,71,https://www.wineberserkers.com/t/clive-coates-on-the-age-worthiness-of-beaujolais/146188/65,2026-05-07T05:31:47+00:00
