producer	wine	price	country	region	appellation	color	variety
Jj Girard	2023 Savigny-Les-Beaune 1er Cru "Narbangtons"	47.99	France	Burgundy	Savigny-Les-Beaune 1er Cru	Red	Pinot Noir
Jj Girard	2023 Savingy-Les-Beaune	35.99	France	Burgundy	Savingy-Les-Beaune	Red	Pinot Noir
Jj Girard	2023 Savingy-Les-Beaune 1er Cru "Les Peuillets"	44.99	France	Burgundy	Savingy-Les-Beaune 1er Cru	Red	Pinot Noir
Jj Girard	2023 Volnay 1er Cru "En Chevret"	89.99	France	Burgundy	1er Cru	Red	Pinot Noir
Laurent Boussey	2023 Volnay 1er Cru "Taillipieds"	74.99	France	Burgundy	1er Cru	Red	Pinot Noir
Markus Molitor	2022 Graacher Domprobst Kabinett Trocken (White Capsule)	33.99	Germany	Mosel		White	Riesling
Markus Molitor	2022 Graacher Himmelreich Spätlese Green Capsule	38.99	Germany	Mosel		White	Riesling
Markus Molitor	2022 Wehlener Sonnenuhr Spätlese Gold Capsule	41.99	Germany	Mosel		White	Riesling
Markus Molitor	2023 Brauneberger Juffer-Sonnenuhr Auslese** White Capsule	67.99	Germany	Mosel		White	Riesling
Markus Molitor	2023 Ürziger Würzgarten Spätlese White Capsule	35.99	Germany	Mosel		White	Riesling
Markus Molitor	2023 Zeltinger Sonnenuhr Auslese** White Cap	71.99	Germany	Mosel		White	Riesling
Markus Molitor	2023 Zeltinger Sonnenuhr Auslese*** Gold Capsule	115.99	Germany	Mosel		White	Riesling
Markus Molitor	2023 Zeltinger Sonnenuhr Auslese*** White Capsule	115.99	Germany	Mosel		White	Riesling
Michel Rebourgeon	2023 Pommard 1er Cru "Les Rugiens"	97.99	France	Burgundy	1er Cru	Red	Pinot Noir
Michel Rebourgeon	2023 Pommard 1er Cru Les Charmots	104.99	France	Burgundy	1er Cru Les Charmots	Red	Pinot Noir
Philippe Nadeff	2023 Gevrey-Chambertin VV	81.99	France	Burgundy	Gevrey-Chambertin VV	Red	Pinot Noir
Pierre Briseet	2023 Vosne-Romanee 1er Cru "Les Rouges Dessus"	169.99	France	Burgundy	1er Cru	Red	Pinot Noir
Pierre Brisset	2021 Nuits St. Georges 1er Cru "Aux Thorey"	104.99	France	Burgundy	1er Cru	Red	Pinot Noir
Pierre Brisset	2022 Vosne-Romanée 1er Cru	189.99	France	Burgundy	1er Cru	Red	Pinot Noir
Pierre Brisset	2023 Nuits St. Georges 1er Cru "Aux Thorey"	1.99	France	Burgundy	1er Cru	Red	Pinot Noir
Pierre Brisset	2023 Nuits-Saint-Georges Premier Cru "Aux Thorey"	84.99	France	Burgundy	Premier Cru	Red	Pinot Noir
Pierre Brisset	2023 Pommard 1er Cru	106.99	France	Burgundy	1er Cru	Red	Pinot Noir
Pierre Brisset	2023 Pommard 1er Cru (Les Charmots & Argillieres)	104.99	France	Burgundy	1er Cru (Les Charmots & Argillieres)	Red	Pinot Noir
Remi Poisot	2023 Aloxe-Corton 1er Cru	64.99	France	Burgundy	1er Cru	Red	Pinot Noir
Sarl Garaudet	2023 Pere et Fils Bourgogne Chardonnay	41.99	France	Burgundy		White	Chardonnay
Thorle Holle	2022 Pinot "GG"	89.99	Germany	Rheinhessen		White	Riesling
Vincent Ledy	2022 Bourgogne Hautes Cotes de Nuits "La Vacherotte"	41.99	France	Burgundy	Bourgogne Hautes Cotes de Nuits	Red	Pinot Noir
Chavy Chouet	2023 Meursault 1er Cru "Les Genevrières"	133.99	France	Burgundy	1er Cru	White	Chardonnay
Chavy Chouet	2023 Puligny Montrachet 1er Cru "Champs Gains"	131.99	France	Burgundy	Puligny Montrachet 1er Cru	White	Chardonnay
Daniel Etienne Defaix	2014 Chablis 1er Cru "Les Lys"	65.99	France	Burgundy	1er Cru	White	Chardonnay
Jean Dauvissat	2023 Pere et Fils Chablis	35.99	France	Burgundy	Pere et Fils Chablis	White	Chardonnay
Jean Dauvissat	2023 Père et Fils Chablis 'Les Tierces'	39.99	France	Burgundy	Père et Fils Chablis 'Les Tierces'	White	Chardonnay
Jean Dauvissat	2023 Pere et Fils Chablis 1er Cru "Cote de Lechet"	53.99	France	Burgundy	Pere et Fils Chablis 1er Cru	White	Chardonnay
