Name,producer_guess,Vintage,Format,Category,Price,price_usd,Region/Notes
Domaine de Beaurenard - Côtes du Rhône,Domaine de Beaurenard,2022,750ml,Red Wine,$17.99,17.99,Rhone Valley (Organic)
Pierre Sparr - Cremant d'Alsace Brut Reserve,Pierre Sparr,NV,750ml,Sparkling Wine,$17.99,17.99,"Alsace (WE: 90, D: 90)"
Louis Jadot - Chardonnay,Louis Jadot,2023,750ml,White Wine,$17.09,17.09,Burgundy
Chateau L Escarelle - Rumeurs Rose,Chateau L Escarelle,NV,750ml,Rose Wine,$18.99,18.99,Provence
Pierre Sparr - One Alsace,Pierre Sparr,NV,750ml,White Wine,$17.09,17.09,Alsace
Chateau Saint-Roch Maury Sec,Chateau Saint-Roch Maury Sec,2012,750ml,Red Wine,$17.09,17.09,Rhone
Hecht & Bannier - Cote de Provence Rose,Hecht & Bannier,NV,750ml,Rose Wine,$17.09,17.09,Provence
Hugel & Fils - Gewürztraminer Alsace,Hugel & Fils,NV,750ml,White Wine,$18.99,18.99,Alsace
Chateau de L'Escarelle Rose,Chateau de L'Escarelle Rose,NV,750ml,Rose Wine,$17.99,17.99,Provence
Pierre Sparr Pinot Blanc Grande Reserve,Pierre Sparr Pinot Blanc Grande Reserve,NV,750ml,White Wine,$16.19,16.19,Alsace
Domaine du Rey - Côtes de Gascogne White,Domaine du Rey,2020,750ml,White Wine,$16.19,16.19,Gascogne
St.-Cosme - Côtes du Rhône,St.-Cosme,NV,750ml,Red Wine,$16.19,16.19,Rhone Valley
Château Lamothe de Haux - Bordeaux White,Château Lamothe de Haux,NV,750ml,Red Wine,$16.19,16.19,Bordeaux
Dubonnet - Rouge,Dubonnet,NV,1L,Red Wine,$16.19,16.19,Proprietary Red
Grand Veneur - Cotes Du Rhone,Grand Veneur,NV,750ml,Red Wine,$16.19,16.19,Rhone (Organic)
Hugel & Fils - Pinot Blanc Alsace Cuvée Les Amours,Hugel & Fils,NV,750ml,White Wine,$16.19,16.19,Alsace
Domaine Laroche - Mas La Chevaliere Pinot Noir,Domaine Laroche,NV,750ml,Red Wine,$16.19,16.19,Languedoc (Sustainable)
Domaine de Triennes - Rose,Domaine de Triennes,NV,750ml,Rose Wine,$16.19,16.19,Provence (Organic)
Chateau Les Tuileries Bordeaux,Chateau Les Tuileries Bordeaux,2020,750ml,Red Wine,$16.19,16.19,Bordeaux
E. Guigal - Côtes du Rhône,E. Guigal,NV,750ml,Red Wine,$15.29,15.29,Rhone Valley
Gerard Bertrand - Cote des Roses,Gerard Bertrand,NV,750ml,Rose Wine,$15.29,15.29,Provence
Peyrassol - La Croix Rouge,Peyrassol,2019,750ml,Red Wine,$16.99,16.99,Provence (Organic)
